assunto;localidade;pergunta;opcao_a;opcao_b;opcao_c;opcao_d;resposta_correta
IOs_Internas;TODAS;IO-007_Durante a execução dos trabalhos, caso haja interrupção da comunicação, a equipe de manutenção deve, de imediato, paralisar os trabalhos e o Responsável pelos Serviços deve               procurar outro meio de comunicação e contatar o Operador do COG para devolução da AS. Esta afirmativa é?;Verdadeira;Falsa; ; ;A
IOs_Internas;TODAS;IO-007_Durante a execução dos trabalhos, caso haja desligamento da LT por motivos conhecidos pelo Operador do COG e sem envolvimento com as atividades em andamento, o religamento da LT poderá ser efetuado sem contato com o Responsável. Esta afirmativa é? ;Verdadeira;Falsa; ; ;A
IOs_Internas;TODAS;IO-*02_Qual o objetivo da IO-FGO-502?;Estabelecer os procedimentos e metodologias para operação das unidades geradoras da UHE Ferreira Gomes, tanto em regime normal como em regime de emergência.;Estabelecer os procedimentos e metodologias para operação hidráulica do reservatório da UHE Ferreira Gomes, tanto no período de controle de cheias (PCC) quanto no período fora do controle de cheias (PFCC).;Estabelecer os procedimentos operativos para manobras no vertedouro da UHE Ferreira Gomes.;Estabelecer os procedimentos operativos para evitar aumento de saturação de oxigênio à jusante da UHE Ferreira Gomes.;B
IOs_Internas;TODAS;IO-*02_Qual o objetivo da IO-FRC-102?;Estabelecer os procedimentos e metodologias para operação das unidades geradoras da UHE Eng. José Luiz Müller de Godoy Pereira, tanto em regime normal como em regime de emergência.;Estabelecer os procedimentos e metodologias para operação hidráulica do reservatório da UHE Eng. José Luiz Müller de Godoy Pereira, tanto no período de controle de cheias (PCC) quanto no período fora do controle de cheias (PFCC).;Estabelecer os procedimentos operativos para manobras no vertedouro da UHE Eng. José Luiz Müller de Godoy Pereira.;Estabelecer os procedimentos operativos para evitar aumento de saturação de oxigênio à jusante da UHE Eng. José Luiz Müller de Godoy Pereira.;B
IOs_Internas;TODAS;IO-*02_Qual o objetivo da IO-SJO-202?;Estabelecer os procedimentos e metodologias para operação das unidades geradoras da UHE São José, tanto em regime normal como em regime de emergência.;Estabelecer os procedimentos e metodologias para operação hidráulica do reservatório da UHE São José, tanto no período de controle de cheias (PCC) quanto no período fora do controle de cheias (PFCC).;Estabelecer os procedimentos operativos para manobras no vertedouro da UHE São José.;Estabelecer os procedimentos operativos para evitar aumento de saturação de oxigênio à jusante da UHE São José.;B
IOs_Internas;TODAS;IO-*02_Quais são os pares de valores que estabelecem o Estado Hidráulico do Reservatório?;Nivel Montante e Vazão Defluente.;Nível Jusante e Vazão Defluente.;Nível Montante e Vazão Afluente.;Nível Montante e Nível Jusante.;C
IOs_Internas;TODAS;IO-*02_Qual a definição de Nível Jusante?;Nível de água imediatamente a jusante de um aproveitamento hidroelétrico, em geral medido no canal de fuga da usina.;Nível de água mais elevado para o qual a barragem foi projetada. É geralmente fixado como o nível correspondente à elevação máxima, quando da ocorrência de cheia de projeto.;Nível máximo de água de um reservatório, para fins de operação normal de uma usina hidroelétrica.;Nível de água imediatamente a montante de um aproveitamento hidroelétrico, em geral medido nas proximidades da barragem.;A
IOs_Internas;TODAS;IO-*02_Qual a definição de Nível Montante?;Nível de água imediatamente a jusante de um aproveitamento hidroelétrico, em geral medido no canal de fuga da usina.;Nível de água mais elevado para o qual a barragem foi projetada. É geralmente fixado como o nível correspondente à elevação máxima, quando da ocorrência de cheia de projeto.;Nível máximo de água de um reservatório, para fins de operação normal de uma usina hidroelétrica.;Nível de água imediatamente a montante de um aproveitamento hidroelétrico, em geral medido nas proximidades da barragem.;D
IOs_Internas;TODAS;IO-*02_Qual a definição de Nível Máximo Operativo Normal?;Nível de água imediatamente a jusante de um aproveitamento hidroelétrico, em geral medido no canal de fuga da usina.;Nível de água mais elevado para o qual a barragem foi projetada. É geralmente fixado como o nível correspondente à elevação máxima, quando da ocorrência de cheia de projeto.;Nível máximo de água de um reservatório, para fins de operação normal de uma usina hidroelétrica.;Nível de água imediatamente a montante de um aproveitamento hidroelétrico, em geral medido nas proximidades da barragem.;C
IOs_Internas;TODAS;IO-*02_Qual a definição de Nível Máximo Maximorum?;Nível de água imediatamente a jusante de um aproveitamento hidroelétrico, em geral medido no canal de fuga da usina.;Nível de água mais elevado para o qual a barragem foi projetada. É geralmente fixado como o nível correspondente à elevação máxima, quando da ocorrência de cheia de projeto.;Nível máximo de água de um reservatório, para fins de operação normal de uma usina hidroelétrica.;Nível de água imediatamente a montante de um aproveitamento hidroelétrico, em geral medido nas proximidades da barragem.;B
IOs_Internas;TODAS;IO-*02_Qual a definição de Tempo de Recorrência?;Intervalo de tempo médio para coletar as leituras necessárias, a fim de efetuar o controle hidráulico do reservatório com segurança.;Intervalo de tempo médio necessário para que um determinado evento seja igualado ou excedido. Esse intervalo é estimado pelo inverso da sua probabilidade.;Período em que são alocados volume de espera nos reservatórios dos aproveitamentos hidroelétricos para controle de cheias.;Intervalo de tempo médio entre as manobras nas comportas do vertedouro.;B
IOs_Internas;TODAS;IO-*02_Qual a definição de Restrição Hidráulicas?;Conjunto de limitações da operação das unidades geradoras em função das limitações imposta pela Curva de Capabilidade.;Conjunto de limitações da operação das unidades geradoras em função das limitações imposta pelo ONS (Operador Nacional do Sistema).;Conjunto de limitações da operação hidráulica dos aproveitamentos hidroelétricos que devem ser respeitadas para que não resultem em danos para a instalação, para a sociedade e ou para o meio ambiente.;Conjunto de limitações da operação hidráulica dos aproveitamentos hidroelétricos que devem ser respeitadas melhorar a performance das unidades geradoras.;C
IOs_Internas;TODAS;IO-*02_Qual a definição de Vazão Defluente?;Vazão que chega a um aproveitamento hidroelétrico ou a uma estrutura hidráulica.;Vazão que sai de um aproveitamento hidroelétrico ou de uma estrutura hidráulica. Diz-se, também, efluente.;Vazão correspondente a uma restrição hidráulica.;Vazão que passa através das turbinas de uma usina hidroelétrica.;B
IOs_Internas;TODAS;IO-*02_Qual a definição de Vazão Afluente?;Vazão que chega a um aproveitamento hidroelétrico ou a uma estrutura hidráulica.;Vazão que sai de um aproveitamento hidroelétrico ou de uma estrutura hidráulica. Diz-se, também, efluente.;Vazão correspondente a uma restrição hidráulica.;Vazão que passa através das turbinas de uma usina hidroelétrica.;A
IOs_Internas;TODAS;IO-*02_Qual a definição de Vazão Turbinada?;Vazão que chega a um aproveitamento hidroelétrico ou a uma estrutura hidráulica.;Vazão que sai de um aproveitamento hidroelétrico ou de uma estrutura hidráulica. Diz-se, também, efluente.;Vazão correspondente a uma restrição hidráulica.;Vazão que passa através das turbinas de uma usina hidroelétrica.;D
IOs_Internas;TODAS;IO-*02_Qual a definição de Vazão de Restrição?;Vazão que chega a um aproveitamento hidroelétrico ou a uma estrutura hidráulica.;Vazão que sai de um aproveitamento hidroelétrico ou de uma estrutura hidráulica. Diz-se, também, efluente.;Vazão correspondente a uma restrição hidráulica.;Vazão que passa através das turbinas de uma usina hidroelétrica.;C
IOs_Internas;TODAS;IO-*02_Qual a definição de Vazão Vertida?;Vazão que chega a um aproveitamento hidroelétrico ou a uma estrutura hidráulica.;Vazão que sai de um aproveitamento hidroelétrico ou de uma estrutura hidráulica. Diz-se, também, efluente.;Vazão liberada por um reservatório através de vertedouros de superfície e ou de descarregadores de fundo.;Vazão que passa através das turbinas de uma usina hidroelétrica.;C
IOs_Internas;TODAS;IO-*02_Qual a definição de Volume útil?;Volume do reservatório compreendido entre o nível máximo operativo normal e o nível máximo maximorum.;Volume do reservatório compreendido entre o nível máximo operativo normal e o nível mínimo operativo normal.;Volume do reservatório que fica abaixo do nível mínimo operativo normal.;Parte do volume útil de um reservatório, abaixo do nível máximo operativo normal, mantido vazio para ser utilizado no controle de cheias.;B
IOs_Internas;TODAS;IO-*02_Qual a definição de Volume morto?;Volume do reservatório compreendido entre o nível máximo operativo normal e o nível máximo maximorum.;Volume do reservatório compreendido entre o nível máximo operativo normal e o nível mínimo operativo normal.;Volume do reservatório que fica abaixo do nível mínimo operativo normal.;Parte do volume útil de um reservatório, abaixo do nível máximo operativo normal, mantido vazio para ser utilizado no controle de cheias.;C
Ac_Operativos;TODAS;Em que condições haverá necessidade de emissão de AI entre as empresas?;Sempre que houver impedimentos de equipamentos de interligação em regime energizado.;Quando de necessidade de trabalhos, em regime desenergizado, em equipamentos de uma empresa e houver necessidade de condições de impedimento por parte da outra empresa.;Quando de necessidade de trabalhos, em regime energizado, em equipamentos de uma empresa e houver necessidade de condições de impedimento por parte da outra empresa.;Sempre que houver impedimentos de equipamentos de interligação em regime desenergizado.;B
Ac_Operativos;TODAS;Em que condições haverá necessidade de emissão de ATEIE entre as empresas?;Sempre que houver impedimentos de equipamentos de interligação em regime energizado.;Quando de necessidade de trabalhos, em regime desenergizado, em equipamentos de uma empresa e houver necessidade de condições de impedimento por parte da outra empresa.;Quando de necessidade de trabalhos, em regime energizado, em equipamentos de uma empresa e houver necessidade de condições de impedimento por parte da outra empresa.;Sempre que houver impedimentos de equipamentos de interligação em regime desenergizado.;C
Ac_Operativos;TODAS;Qual a definição de AI?;Documento com vigência temporária, de natureza interna ao agente para incluir, retificar ou complementar procedimentos operativos vigentes, em virtude de alterações nas condições operativas.;É um documento utilizado pelos Centros de Operação das empresas para registrar e garantir à parte responsável pela execução do serviço as condições necessárias em equipamentos de interligação energizados, bem como formalizar a concordância dos centros de operação das empresas envolvidas com os serviços.;É um documento utilizado pelos Centros de Operação das empresas para registrar e garantir à parte responsável pela execução do serviço, a segurança quanto às condições solicitadas para o impedimento do equipamento de interligação, nas condições solicitadas pela PARTE que o emitiu e formalizar a concordância das empresas envolvidas no impedimento.;É um documento utilizado pelos Centros de Operação para registrar o intercâmbio de energia entre as duas empresas.;C
Ac_Operativos;TODAS;Qual a definição de ATEIE?;Documento com vigência temporária, de natureza interna ao agente para incluir, retificar ou complementar procedimentos operativos vigentes, em decorrência de alterações nas condições operativas do sistema.;É um documento utilizado pelos Centros de Operação das empresas para registrar e garantir à parte responsável pela execução do serviço as condições necessárias em equipamentos de interligação energizados, bem como formalizar a concordância dos centros de operação das empresas envolvidas com os serviços.;É um documento utilizado pelos Centros de Operação das empresas para registrar e garantir à parte responsável pela execução do serviço, a segurança quanto às condições solicitadas para o impedimento do equipamento de interligação, nas condições solicitadas pela PARTE que o emitiu e formalizar a concordância das empresas envolvidas no impedimento.;É um documento utilizado pelos Centros de Operação para registrar o intercâmbio de energia entre as duas empresas.;B
Ac_Operativos;TODAS;Qual a definição de MO?;Documento com vigência temporária, de natureza interna ao agente para incluir, retificar ou complementar procedimentos operativos vigentes, em decorrência de alterações nas condições operativas do sistema.;É um documento utilizado pelos Centros de Operação das empresas para registrar e garantir à parte responsável pela execução do serviço as condições necessárias em equipamentos de interligação energizados, bem como formalizar a concordância dos centros de operação das empresas envolvidas com os serviços.;É um documento utilizado pelos Centros de Operação das empresas para registrar e garantir à parte responsável pela execução do serviço, a segurança quanto às condições solicitadas para o impedimento do equipamento de interligação, nas condições solicitadas pela PARTE que o emitiu e formalizar a concordância das empresas envolvidas no impedimento.;É um documento utilizado pelos Centros de Operação para registrar o intercâmbio de energia entre as duas empresas.;A
Ac_Operativos;TODAS;O tempo necessário para execução das manobras de liberação e normalização dos equipamentos de interligação deverão estar incluídos no período total do impedimento. Esta afirmação é?;Verdadeira.;Falsa.; ; ;A
Ac_Operativos;TODAS;Para acesso dos colaboradores do agente acessante na subestação da acessada para realização de trabalhos nos seus equipamentos, a acessante deverá tomar as seguintes providências:;Não há necessidade de nenhuma providência, uma vez que, de acordo com o Acordo Operativo, todos os colaboradores da acessante possuem livre acesso à subestação.;Deverá emitir uma MO para a Acessada informando a relação dos colaboradores que irão acessar a subestação apenas se o nome do colaborador não constar da lista de livre acesso à subestação.;Sempre deverá ser emitido uma MO para a Acessada, a fim de formalizar à solicitação, informando a relação dos colaboradores que irão acessar a subestação.;Além da MO, deverá ser emitida uma AI informando qual atividade será executada nos equipamentos na subestação.;B
Ac_Operativos;TODAS;Como existe compartilhamento da LT 230 kV Ferreira Gomes / Macapá com a EECC (Empresa de Energia Cachoeira Caldeirão), os colaboradores desta empresa (EECC) tem livre acesso à subestação Macapá. Esta afirmação é?;Verdadeira.;Falsa.; ; ;B
Ac_Operativos;TODAS;Para acesso dos colaboradores da UHE Cachoeira Caldeirão na subestação Ferreira Gomes para realização de trabalhos nos equipamentos do Vão 230 kV Cachoeira Caldeirão, o COG-EDP deverá tomar as seguintes providências:;Não há necessidade de nenhuma providência, uma vez que, de acordo com o Acordo Operativo, todos os colaboradores da UHE Cachoeira Caldeirão possuem livre acesso à subestação Ferreira Gomes.; Sempre deverá ser emitido uma MO para o COG-Alupar, a fim de formalizar à solicitação, informando a relação dos colaboradores que irão acessar a subestação de Ferreira Gomes.;Além da MO, deverá ser emitida uma AI informando qual atividade será executada no Vão 230 kV Cachoeira Caldeirão na subestação Ferreira Gomes.;Deverá emitir uma MO ao COG-Alupar informando a relação dos colaboradores que irão acessar a subestação de Ferreira Gomes apenas se o nome do colaborador não constar da lista de livre acesso à subestação.;D
Ac_Operativos;TODAS;Para acesso dos colaboradores da UHE MGP na subestação Itaguaçu para realização de trabalhos nos equipamentos do Vão 230 kV, o COG Alupar deverá tomar as seguintes providências:;Não há necessidade de nenhuma providência, uma vez que, de acordo com o Acordo Operativo, todos os colaboradores da UHE MGP possuem livre acesso à subestação Itaguaçu.; Sempre deverá ser emitido uma MO para Coqueiros Transmissora, a fim de formalizar à solicitação, informando a relação dos colaboradores que irão acessar a subestação de Itaguaçu.;Além da MO, deverá ser emitida uma AI informando qual atividade será executada no Vão 230 kV na subestação Itaguaçu.;Deverá emitir uma MO, ao agente Coqueiros Transmissora, informando a relação dos colaboradores que irão acessar a subestação de Itaguaçu apenas se o nome do colaborador não constar da lista de livre acesso à subestação.;D
Ac_Operativos;TODAS;Para acesso dos colaboradores da UHE São José na subestação Cerro Largo para realização de trabalhos nos equipamentos do Vão 69 kV, o COG Alupar deverá tomar as seguintes providências:;Não há necessidade de nenhuma providência, uma vez que, de acordo com o Acordo Operativo, todos os colaboradores da UHE São José possuem livre acesso à subestação Cerro Largo.; Sempre deverá ser emitido uma MO para RGE, a fim de formalizar à solicitação, informando a relação dos colaboradores que irão acessar a subestação de Cerro Largo.;Além da MO, deverá ser emitida uma AI informando qual atividade será executada no Vão 69 kV na subestação Cerro Largo.;Deverá emitir uma MO, ao agente RGE, informando a relação dos colaboradores que irão acessar a subestação de Cerro Largo apenas se o nome do colaborador não constar da lista de livre acesso à subestação.;D
Ac_Operativos;TODAS;Para acesso dos colaboradores da Energia dos Ventos na subestação Russas II para realização de trabalhos nos equipamentos do Vão 230 kV, o COG Alupar deverá tomar as seguintes providências:;Não há necessidade de nenhuma providência, uma vez que, de acordo com o Acordo Operativo, todos os colaboradores da Energia dos Ventos possuem livre acesso à subestação Russas II.; Sempre deverá ser emitido uma MO para Chesf, a fim de formalizar à solicitação, informando a relação dos colaboradores que irão acessar a subestação de Russas II.;Além da MO, deverá ser emitida uma AI informando qual atividade será executada no Vão 230 kV na subestação Russas II.;Deverá emitir uma MO, ao agente Chesf, informando a relação dos colaboradores que irão acessar a subestação de Russas II apenas se o nome do colaborador não constar da lista de livre acesso à subestação.;D
Ac_Operativos;TODAS;Toda e qualquer manutenção, por parte da equipe da UHE Cachoeira Caldeirão, nos equipamentos instalados no bay pertencente a esta empresa, é obrigatório o acompanhamento de um colaborador da UHE Ferreira Gomes. Esta afirmativa é?;Verdadeira.;Falsa.; ; ;B
Ac_Operativos;TODAS;Toda e qualquer manutenção, por parte da equipe da UHE São José, nos equipamentos instalados no bay pertencente a esta empresa, é obrigatório o acompanhamento de um colaborador da RGE. Esta afirmativa é?;Verdadeira.;Falsa.; ; ;B
Ac_Operativos;TODAS;Toda e qualquer manutenção, por parte da equipe da UHE MGP, nos equipamentos instalados no bay pertencente a esta empresa, é obrigatório o acompanhamento de um colaborador da Coqueiros Transmissora. Esta afirmativa é?;Verdadeira.;Falsa.; ; ;B
Ac_Operativos;TODAS;Toda e qualquer manutenção, por parte da equipe da Energia dos Ventos, nos equipamentos instalados no bay pertencente a esta empresa na SE Russas II, é obrigatório o acompanhamento de um colaborador da Chesf. Esta afirmativa é?;Verdadeira.;Falsa.; ; ;B
C_Continua;TODAS;A corrente elétrica consiste no movimento ordenado dos elétrons no interior de um condutor. Com base nessa afirmação, responda se ela é verdadeira ou falsa.;Verdadeira;Falsa; ; ;A
C_Continua;TODAS;Qual a unidade de medida da intensidade de corrente?;Ampére;Watt;Volts;Ohm;A
C_Continua;TODAS;Qual a simbologia correspondente a unidade Ampére?;A;W;V;H;A
C_Continua;TODAS;A medição de corrente elétrica é efetuada através de um instrumento. Qual o nome desse instrumento?;Amperímetro;Voltímetro;Varímetro;Wattímetro;A
C_Continua;TODAS;O efeito térmico caracteriza-se pelo aquecimento de corpos, os quais produzem uma certa quantidade de calor. Qual das opções abaixo apresentam apenas objetos que produzem o efeito térmico?;Lâmpada, chuveiro e ferro elétrico;Lâmpada, chuveiro, eletroímã;Chuveiro, eletroímã e ferro elétrico;Ebulidor, eletroímã e chuveiro;A
C_Continua;TODAS;A circulação de corrente através dos circuitos elétricos pode produzir alguns efeitos, que variam de acordo com a sua intensidade. Quais são esses efeitos?;Térmico, Magnético e Químico;Apenas térmico e químico;Apenas magnético;Apenas magnético e térmico;A
C_Continua;TODAS;O efeito magnético caracteriza-se pelo aparecimento de um campo magnético (força e atração) em um condutor em forma de espiras. Essa afirmação é verdadeira ou falsa?;Verdadeira;Falsa; ; ;A
C_Continua;TODAS;O efeito térmico caracteriza-se pelo aquecimento de corpos, os quais produzem uma certa quantidade de calor. Essa afirmação é verdadeira ou falsa?;Verdadeira;Falsa; ; ;A
C_Continua;TODAS;A tensão elétrica (denotada por Variação de Tensão), também é conhecida por qual nomenclatura?;Diferença de potencial;Igualdade de potencial;Produto de potencial;Soma de potencial;A
C_Continua;TODAS;Qual a unidade de medida da tensão elétrica?;Volt;Watt;Ohm;Ampére;A
C_Continua;TODAS;Um instrumento pode ser utilizado para se medir a tensão entre dois pontos em um sistema, sendo que usualmente um ponto referencial comum é a terra. Qual o nome desse instrumento?;Volt metro;Amperímetro;Wattímetro;Var metro;A
C_Continua;TODAS;Para que os elétrons livres se movimentem, é necessário que uma força atue sobre eles. Qual o nome dessa força?;Tens o;Impulso;Mecânica;Gravidade;A
C_Continua;TODAS;A tensão elétrica pode ser causada por campos elétricos estáticos, por uma corrente elétrica sob a ação de um campo magnético, por campo magnético variante ou uma combinação de todos os três. Essa afirmação é verdadeira ou falsa?;Verdadeira;Falsa; ; ;A
C_Continua;TODAS;Qual é a simbologia utilizada para representar a unidade de medida da tensão elétrica?;V;A;W;H;A
C_Continua;TODAS;Qual a definição correta de resistência elétrica?;Resistência elétrica é a capacidade de um corpo qualquer se opor à passagem de corrente elétrica mesmo quando existe uma diferença de potencial aplicada.;Resistência elétrica é a incapacidade de um corpo qualquer se opor à passagem de corrente elétrica mesmo quando existe uma diferença de potencial aplicada.;Resistência elétrica é a capacidade de um corpo qualquer permitir à passagem de corrente elétrica mesmo quando existe uma diferença de potencial aplicada.;Resistência elétrica é a capacidade de um corpo qualquer permitir à passagem de corrente elétrica quando não existe uma diferença de potencial aplicada.;A
C_Continua;TODAS;A realização do cálculo da resistência elétrica é possível através de qual lei?;Primeira Lei de Ohm;Primeira Lei de Kirchhoff;Primeira Lei de Newton;Segunda Lei de Newton;A
C_Continua;TODAS;Qual a unidade de medida da resistência elétrica?;Ohm;Volt;Ampére;Joule;A
C_Continua;TODAS;Qual a unidade utilizada para representar a unidade de medida da resistência elétrica?;Ohms;Resistencia;Frequência;Volts;A
C_Continua;TODAS;Em um circuito elétrico, para se obter uma corrente elétrica é necessário que se tenha três elementos. Quais são eles?;Gerador, condutor e carga;Gerador, carregador e carga;Gerador, aterramento e carga;Gerador, turbina e transformador;A
C_Continua;TODAS;A Lei de Ohm, assim designada em homenagem ao seu formulador, o físico alemão Georg Simon Ohm (1787-1854), afirma que, para um condutor mantido à temperatura constante, a razão entre a tensão entre dois pontos e a corrente elétrica é constante. Qual a denominação dessa constante?;Resistência elétrica;Resistência mecânica;Diferença de potencial;Corrente elétrica;A
C_Continua;TODAS;É correta a afirmação de que a corrente num circuito aumenta quando a tensão é aumentada, conservando-se a resistência constante?;Sim;Não; ; ;A
C_Continua;TODAS;É correta a afirmação de que a corrente num circuito aumenta quando a resistência é diminuída, conservando-se a tensão constante?;Sim;Não; ; ;A
C_Continua;TODAS;Segundo a Lei de Ohm, qual a expressão correta para o cálculo da tensão?;V=RxI;V=R-I;V=R/I;V=R+I;A
C_Continua;TODAS;Segundo a Lei de Ohm, qual a expressão correta para o cálculo da corrente?;I=V/R;I=VxR;I=V+R;I=V-R;A
C_Continua;TODAS;Segundo a Lei de Ohm, qual a expressão correta para o cálculo da resistência?;R=V/I;R=V+I;R=VxI;R=V-I;A
C_Continua;TODAS;Utilizando a Lei de Ohm, calcule a tensão de um circuito em série, onde a corrente I é igual 5A e a resistência R é igual a 10 Ohms.;50 V;15 V;5 V;125 V;A
C_Continua;TODAS;Utilizando a Lei de Ohm, calcule a tensão de um circuito em série, onde a corrente I é igual 2A e a resistência R é igual a 12 Ohms.;24 V;12 V;14 V;10 V;A
C_Continua;TODAS;Utilizando a Lei de Ohm, calcule a corrente de um circuito em série, onde a tensão V é igual 10V e a resistência R é igual a 10 Ohms.;1 AMPER;20 AMPERES;100 AMPERES;10 AMPERES;A
C_Continua;TODAS;Utilizando a Lei de Ohm, calcule a corrente de um circuito em série, onde a tensão V é igual 24V e a resistência R é igual a 2 Ohms.;12 AMPERES;26 AMPERES;22 AMPERES;48 AMPERES;A
C_Continua;TODAS;Utilizando a Lei de Ohm, calcule a corrente de um circuito em série, onde a tensão V é igual 10V e a resistência R é igual a 5 Ohms.;2  AMPERES;5 AMPERES;15 AMPERES;50 AMPERES;A
C_Continua;TODAS;Utilizando a Lei de Ohm, calcule a resistência em um circuito em série, onde a tensão V é igual 10V e a corrente I é igual a 2A.;5 Ohms;12  Ohms;8  Ohms;20  Ohms;A
C_Continua;TODAS;Utilizando a Lei de Ohm, calcule a resistência em um circuito em série, onde a tensão V é igual 50V e a corrente I é igual a 5A.;10  Ohms;5 Ohms;25 Ohms;45 Ohms;A
C_Continua;TODAS;É correto afirmar que em um circuito elétrico montado em série a intensidade de corrente é a mesma em qualquer parte do circuito?;Sim;Não; ; ;A
C_Continua;TODAS;É correto afirmar que a tensão nos bornes do circuito é igual à soma das tensões existentes nos bornes de cada resistência?;Sim;Não; ; ;A
C_Continua;TODAS;Segundo a primeira Lei de Kirchhoff, qual a definição correta para “nós”?;São pontos onde três ou mais condutores são interligados.;São pontos onde dois condutores são interligados.;São pontos encontrados em circuitos em série.;São pontos encontrados em circuitos me paralelo e série.;A
C_Continua;TODAS;É correto afirmar que, segundo a primeira lei de Kirchhoff, a soma das correntes que entram em um “nó” é igual a soma das correntes que saem deste mesmo “nó”.;Sim;Não; ; ;A
C_Continua;TODAS;Qual a correta definição para potência elétrica?;Capacidade de efetuar um determinado desempenho, mesmo que não venha a efetuá-lo realmente.;Incapacidade de efetuar um determinado desempenho, mesmo que não venha a efetuá-lo realmente.;Capacidade de efetuar um determinado desempenho, apenas quando efetuá-lo realmente.;Incapacidade de efetuar um determinado desempenho, apenas quando não venha a efetuá-lo realmente.;A
C_Continua;TODAS;Qual a simbologia adotada para a unidade de medida da potência elétrica?;W;A;I;L;A
C_Continua;TODAS;Como é obtida a potência elétrica?;Pelo produto da tensão pela corrente;Pela soma da tensão e corrente;Pelo produto da corrente pela resistência;Pela diferença entre tensão e resistência;A
C_Continua;TODAS;Supondo que um gerador permaneceu fornecendo uma potência média de 50 MW durante 3 horas. Calcule a energia gerada nesse período.;150 MWh;50 MWh;53 MWh;25 MWh;A
C_Continua;TODAS;Supondo que um gerador permaneceu fornecendo uma potência média de 10 MW durante 24 horas. Calcule a energia gerada nesse período.;240 MWh;24 MWh;420 MWh;42 MWh;A
C_Continua;TODAS;Durante um mês composto de 30 dias (720 horas) um sistema que utiliza a eletricidade como fonte, utiliza uma potência média de 2 W. Calcule a energia elétrica consumida por esse sistema.;1,44 kWh;1700 MWh;7,2 kWh;2 kWh;A
